Source,Date,Mean
Geumcheon-gu,Dec-16,26
Geumcheon-gu,Nov-16,2
Geumcheon-gu,Oct-16,14
Geumcheon-gu,Sep-16,27
Geumcheon-gu,Aug-16,26
Geumcheon-gu,Jul-16,3
Geumcheon-gu,Jun-16,21
Geumcheon-gu,May-16,13
Geumcheon-gu,Apr-16,34
Geumcheon-gu,Mar-16,8
Geumcheon-gu,Feb-16,12
Geumcheon-gu,Jan-16,28
Geumcheon-gu,Dec-15,11
Geumcheon-gu,Nov-15,2
Geumcheon-gu,Oct-15,21
Geumcheon-gu,Sep-15,32
Geumcheon-gu,Aug-15,20
Geumcheon-gu,Jul-15,22
Geumcheon-gu,Jun-15,6
Geumcheon-gu,May-15,14
Geumcheon-gu,Apr-15,12
Geumcheon-gu,Mar-15,35
Geumcheon-gu,Feb-15,9
Geumcheon-gu,Jan-15,34
Geumcheon-gu,Dec-14,26
Geumcheon-gu,Nov-14,6
Geumcheon-gu,Oct-14,14
Geumcheon-gu,Sep-14,32
Geumcheon-gu,Aug-14,20
Geumcheon-gu,Jul-14,8
Geumcheon-gu,Jun-14,3
Geumcheon-gu,May-14,33
Geumcheon-gu,Apr-14,4
Geumcheon-gu,Mar-14,7
Geumcheon-gu,Feb-14,13
Geumcheon-gu,Jan-14,11
Geumcheon-gu,Dec-13,32
Geumcheon-gu,Nov-13,10
Geumcheon-gu,Oct-13,34
Geumcheon-gu,Sep-13,17
Geumcheon-gu,Aug-13,22
Geumcheon-gu,Jul-13,2
Geumcheon-gu,Jun-13,35
Geumcheon-gu,May-13,22
Geumcheon-gu,Apr-13,5
Geumcheon-gu,Mar-13,34
Geumcheon-gu,Feb-13,3
Geumcheon-gu,Jan-13,0
Geumcheon-gu,Dec-12,30
Geumcheon-gu,Nov-12,23
Geumcheon-gu,Oct-12,19
Geumcheon-gu,Sep-12,33
Geumcheon-gu,Aug-12,10
Geumcheon-gu,Jul-12,32
Geumcheon-gu,Jun-12,28
Geumcheon-gu,May-12,25
Geumcheon-gu,Apr-12,17
Geumcheon-gu,Mar-12,18
Geumcheon-gu,Feb-12,0
Geumcheon-gu,Jan-12,26
Geumcheon-gu,Dec-11,12
Geumcheon-gu,Nov-11,30
Geumcheon-gu,Oct-11,1
Geumcheon-gu,Sep-11,11
Geumcheon-gu,Aug-11,27
